status	gemini	instagram	egress_ip	country	latency_ms	upstream_speed_mbps	rank	tag	host	port
WORKS	YES	YES	94.26.0.129	DE	726	401		🇩🇪401Mb | RMP Protection Limited	185.22.235.203	443
WORKS	NO	YES			651	400		🇫🇮400Mb | U1 Digital Services	31.76.89.110	8443
WORKS	NO	YES			595	395		🇫🇮395Mb | U1 Digital Services	31.76.89.110	8443
WORKS	YES	YES	144.172.95.99	US	1272	392		🇺🇸392Mb | RouterHosting	104.194.149.76	443
WORKS	YES	YES	144.172.95.99	US	1328	390		🇺🇸390Mb | RouterHosting	104.194.149.76	443
FAIL	NO	NO			4002	387		🇫🇮387Mb | Play2go International Limited	176.57.213.175	443
WORKS	NO	YES			615	386		🇫🇮386Mb | U1 Digital Services	31.76.89.110	8443
WORKS	YES	YES	62.233.39.2	RU	676	385	25	🇷🇺385Mb | Alex Largman	170.168.99.6	443
WORKS	NO	YES			629	377		🇫🇮377Mb | U1 Digital Services	31.76.89.110	8443
FAIL	NO	NO			539	376		🇨🇭376Mb | Private Layer INC	46.243.142.184	4443
WORKS	YES	YES	62.233.39.2	RU	715	355		🇷🇺355Mb | Alex Largman	170.168.99.6	443
WORKS	YES	YES	94.26.0.129	DE	735	346		🇩🇪346Mb | RMP Protection Limited	bv.cloudvk.cc	443
FAIL	NO	NO			393	344		🇪🇪344Mb | ExpressHost	mg-42.whit3.net	443
WORKS	NO	YES			602	338		🇫🇮338Mb | U1 Digital Services	31.76.89.110	8443
FAIL	NO	NO			377	335		🇹🇷335Mb | Global Connectivity Solutions Llp	62.133.63.253	443
WORKS	YES	YES	144.172.95.99	US	1285	329		🇺🇸329Mb | RouterHosting	104.194.149.76	443
FAIL	NO	NO			329	327		🇵🇱327Mb | Korbank S A	185.32.6.70	443
WORKS	YES	YES	194.26.141.203	EE	552	323	23	🇪🇪323Mb | BlueVPS OU	194.26.141.220	443
WORKS	YES	NO			2339	313		🇵🇱313Mb | Korbank S A	185.32.6.75	443
FAIL	NO	NO			548	308		🇨🇭308Mb | Private Layer INC	46.243.142.42	8443
FAIL	NO	NO			330	308		🇵🇱308Mb | Korbank S A	185.32.6.81	443
WORKS	YES	YES	144.172.95.99	US	1326	299		🇺🇸299Mb | RouterHosting	104.194.149.76	443
FAIL	NO	NO			330	296		🇵🇱296Mb | Korbank S A	185.32.6.70	443
WORKS	YES	YES	144.172.95.99	US	1329	296		🇺🇸296Mb | RouterHosting	104.194.149.76	443
FAIL	NO	NO			535	296		🇨🇭296Mb | Private Layer INC	46.243.142.89	9443
WORKS	NO	YES			633	289		🇫🇮289Mb | U1 Digital Services	31.76.89.110	8443
FAIL	NO	NO			373	289		🇸🇪289Mb | Fzco	idontknow.whit3.net	443
FAIL	NO	NO			333	286		🇪🇪286Mb | ExpressHost	mg-42.whit3.net	443
FAIL	NO	NO			544	286		🇳🇱286Mb | Netrouting BV	nl-xh02.tcp-reset-club.net	8443
WORKS	YES	YES	194.110.207.33	NO	482	284	12	🇳🇴284Mb | Gigahost AS	151.242.168.125	390
FAIL	NO	NO			283	279		🇺🇸279Mb | DeRoy	91.201.203.233	8443
FAIL	NO	NO			4002	274		🌐274Mb | 1240  🇳🇱 Netherlands  VLESS  📺	89.125.147.214	443
WORKS	YES	YES	194.110.207.33	NO	476	273		🇳🇴273Mb | Gigahost AS	151.242.168.125	390
WORKS	YES	YES	194.110.207.33	NO	483	271		🇳🇴271Mb | Gigahost AS	151.242.168.125	390
FAIL	NO	NO			281	270		🇺🇸270Mb | DeRoy	91.201.203.233	8443
FAIL	NO	NO			330	266		🇵🇱266Mb | Korbank S A	185.32.6.80	443
FAIL	NO	NO			332	266		🇵🇱266Mb | Korbank S A	185.32.6.80	443
FAIL	NO	NO			356	262		🇸🇪262Mb | Fzco	idontknow.whit3.net	443
WORKS	YES	YES	151.240.151.94	DE	397	256	6	🇩🇪256Mb | Dedik Services Limited	151.240.151.94	443
FAIL	NO	NO			378	248		🇪🇪248Mb | ExpressHost	mg-42.whit3.net	443
FAIL	NO	NO			326	245		🇦🇹245Mb | Global Connectivity Solutions Llp	at.monkeyvillage.pro	443
WORKS	YES	YES			1345	241		🇩🇪241Mb | Hetzner	49.13.168.128	8443
FAIL	NO	NO			333	239		🇵🇱239Mb | Korbank S A	185.32.6.70	443
WORKS	YES	YES	179.61.227.145	IN	427	238	16	🇮🇳238Mb | 12651980 CANADA INC	179.61.227.145	2083
WORKS	YES	YES	2.27.168.39	FI	443	238	18	🇫🇮238Mb | Dedik Services Limited	vcxzzvn.cloudvk.cc	443
FAIL	NO	NO			331	237		🇵🇱237Mb | Korbank S A	185.32.6.70	443
FAIL	NO	NO			353	227		🇵🇱227Mb | Korbank S A	185.32.6.71	443
WORKS	NO	YES			398	225		🇩🇪225Mb | dataforest GmbH	vnx.cloudvk.cc	443
FAIL	NO	NO			278	221		🇺🇸221Mb | DeRoy	91.201.203.233	8443
WORKS	NO	YES			398	217		🇩🇪217Mb | dataforest GmbH	dvcvx.cloudvk.cc	443
WORKS	YES	YES	194.110.207.33	NO	487	212		🇳🇴212Mb | Gigahost AS	151.242.168.125	390
FAIL	NO	NO			355	210		🇸🇪210Mb | Fzco	idontknow.whit3.net	443
FAIL	NO	NO			332	209		🇵🇱209Mb | Korbank S A	185.32.6.81	443
FAIL	NO	NO			334	208		🇵🇱208Mb | Korbank S A	185.32.6.70	443
WORKS	YES	YES	151.244.30.176	CA	407	205	15	🇨🇦205Mb | 12651980 CANADA INC	151.244.30.176	443
WORKS	NO	YES			869	203		🌐203Mb | 🇯🇵 Japan, Shibuya City  🌐  BL	freshjuniper.download	443
WORKS	YES	YES	45.145.42.41	DE	379	201	5	🇩🇪201Mb | dataforest GmbH	45.145.42.43	443
WORKS	YES	YES	45.145.42.41	DE	382	196		🇩🇪196Mb | dataforest GmbH	avczx.cloudvk.cc	443
WORKS	YES	YES	194.48.217.18	DE	378	194	4	🇩🇪194Mb | dataforest GmbH	194.48.217.19	443
WORKS	YES	YES	2.26.255.99	PL	539	181	21	🇵🇱181Mb | Node Host Limited	hyjik.mervi.icu	443
WORKS	NO	YES			609	173		🌐173Mb | 606ms HK HK  @vlesstrojan	freshjuniper.download	443
WORKS	YES	YES	2.26.255.99	PL	431	173	17	🇵🇱173Mb | Node Host Limited	2.26.255.99	443
FAIL	NO	NO			4002	169		🇵🇱169Mb | Soulful Hosting	195.133.80.8	443
FAIL	NO	NO			4003	167		🇵🇱167Mb | Soulful Hosting	195.133.80.8	443
WORKS	YES	YES	144.172.95.99	US	1280	165		🇺🇸165Mb | RouterHosting	104.194.149.76	443
FAIL	NO	NO			322	162		🇵🇱162Mb | Paul Sagov	good-route.whit3.net	443
FAIL	NO	NO			4002	159		🇷🇺159Mb | VK	95.163.214.43	443
WORKS	YES	YES	146.235.16.130	SG	967	159	28	🇸🇬159Mb | Oracle Cloud	146.235.16.130	19825
WORKS	YES	YES	45.145.42.41	DE	385	158		🇩🇪158Mb | dataforest GmbH	45.145.42.43	443
WORKS	YES	YES	152.233.43.93	PL	766	158		🇵🇱158Mb | Datacamp Limited	188.130.209.185	443
FAIL	NO	NO			331	157		🇵🇱157Mb | Paul Sagov	good-route.whit3.net	443
WORKS	YES	YES	152.233.43.93	PL	769	157		🇵🇱157Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	2.26.255.99	PL	427	156		🇵🇱156Mb | Node Host Limited	2.26.255.99	443
FAIL	NO	NO			317	156		🇩🇪156Mb | Paul Sagov	pets.whit3.net	443
WORKS	YES	YES	152.233.43.93	PL	765	155		🇵🇱155Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	788	154		🇵🇱154Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	776	154		🇵🇱154Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	785	152		🇵🇱152Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	732	150		🇵🇱150Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	776	150		🇵🇱150Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	2.26.255.99	PL	460	150		🇵🇱150Mb | Node Host Limited	2.26.255.99	443
WORKS	YES	YES	152.233.43.93	PL	749	150		🇵🇱150Mb | Datacamp Limited	188.130.209.185	443
FAIL	NO	NO			2152	148		🇸🇪148Mb | Aeza Group	104.21.70.21	8080
WORKS	NO	NO			2536	147		🇵🇱147Mb | Soulful Hosting	195.133.80.8	443
WORKS	YES	YES	152.233.43.93	PL	752	145		🇵🇱145Mb | Datacamp Limited	188.130.209.185	443
FAIL	NO	NO			502	145		🇵🇱145Mb | Korbank S A	185.32.6.71	443
FAIL	NO	NO			193	144		🇨🇦144Mb | BrainStorm Network	ca.monkeyvillage.pro	443
FAIL	NO	NO			332	143		🇵🇱143Mb | Paul Sagov	good-route.whit3.net	443
WORKS	YES	YES	152.233.43.93	PL	769	143		🇵🇱143Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	152.233.43.93	PL	724	142		🇵🇱142Mb | Datacamp Limited	188.130.209.185	443
WORKS	YES	YES	179.255.185.103	US	48	139	1	🇺🇸139Mb | Host Telecom	179.255.185.103	443
WORKS	YES	YES	146.19.90.2	US	403	135	2	🇸🇨135Mb | PureVoltage Hosting	64.49.38.9	443
WORKS	YES	YES	5.157.10.146	SE	861	129	27	🌐129Mb | EPODONIOS	5.157.10.146	443
WORKS	YES	YES	194.110.207.33	NO	486	124		🇳🇴124Mb | Gigahost AS	151.242.168.125	390
WORKS	YES	YES	146.19.90.2	US	416	120		🇸🇨120Mb | PureVoltage Hosting	64.49.38.9	443
FAIL	NO	NO			4002	117		🇷🇺117Mb | VK	95.163.214.43	443
WORKS	YES	YES	146.19.90.2	US	406	114		🇸🇨114Mb | PureVoltage Hosting	64.49.38.9	443
FAIL	NO	NO			4003	113		🇷🇺113Mb | VK	95.163.214.43	443
FAIL	NO	NO			4002	112		🇷🇺112Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	110		🇸🇪110Mb | UAB Cherry Servers	176.109.69.127	443
FAIL	NO	NO			924	104		🇷🇺104Mb | VK	95.163.214.43	443
FAIL	NO	NO			377	103		🇨🇭103Mb | Dedik Services Limited	dump.whit3.net	443
WORKS	YES	YES	146.19.90.2	US	405	100		🇸🇨100Mb | PureVoltage Hosting	64.49.38.9	443
FAIL	NO	NO			4002	99		🇷🇺99Mb | VK	95.163.214.43	443
FAIL	NO	NO			296	98		🇨🇭98Mb | Dedik Services Limited	dump.whit3.net	443
FAIL	NO	NO			4003	98		🇷🇺98Mb | VK	95.163.214.43	443
FAIL	NO	NO			4002	97		🇷🇺97Mb | VK	95.163.214.43	443
FAIL	NO	NO			534	96		🌐96Mb | 4Nika-49ea480913	edge-fl.onavinet.ir	2511
FAIL	NO	NO			4003	95		🇷🇺95Mb | UFO Hosting	217.16.31.162	443
FAIL	NO	NO			4002	94		🇷🇺94Mb | UFO Hosting	217.16.31.162	443
FAIL	NO	NO			292	92		🇨🇭92Mb | Dedik Services Limited	dump.whit3.net	443
FAIL	NO	NO			401	92		🇨🇭92Mb | WAIcore	185.86.144.101	443
FAIL	NO	NO			4003	89		🇷🇺89Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	88		🇷🇺88Mb | UFO Hosting	217.16.31.162	443
WORKS	YES	YES	159.69.91.153	DE	870	85	10	🇩🇪85Mb | Hetzner	185.200.241.35	443
FAIL	NO	NO			4003	85		🇷🇺85Mb | VK	95.163.214.43	443
FAIL	NO	NO			3125	83		🇷🇺83Mb | VK	95.163.214.43	443
FAIL	NO	NO			4004	83		🇷🇺83Mb | VK	95.163.214.43	443
FAIL	NO	NO			399	83		🇺🇸83Mb | Chsl One	213.219.214.33	443
FAIL	NO	NO			2743	81		🇷🇺81Mb | VK	95.163.214.43	443
WORKS	YES	YES	102.211.56.29	ZA	1063	81	29	🇿🇦81Mb | Maxko for Gaming Development	102.211.56.29	443
WORKS	YES	YES	146.19.90.2	US	418	79		🇸🇨79Mb | PureVoltage Hosting	64.49.38.9	443
WORKS	YES	YES	31.76.81.149	SE	624	78		🇸🇪78Mb | Play2go International Limited	200.169.182.57	443
FAIL	NO	NO			1905	77		🇷🇺77Mb | VK	95.163.214.43	443
WORKS	YES	YES	102.211.56.29	ZA	1074	77		🇿🇦77Mb | Maxko for Gaming Development	102.211.56.29	443
FAIL	NO	NO			1563	76		🇷🇺76Mb | VK	95.163.214.43	443
FAIL	NO	NO			1490	76		🇷🇺76Mb | VK	95.163.214.43	443
FAIL	NO	NO			1168	75		🇷🇺75Mb | VK	95.163.214.43	443
FAIL	NO	NO			618	75		🇷🇺75Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	73		🇷🇺73Mb | VK	95.163.214.43	443
FAIL	NO	NO			4002	72		🇷🇺72Mb | UFO Hosting	217.16.31.162	443
FAIL	NO	NO			500	71		🇹🇷71Mb | Tres Teknoloji AS	45.74.159.28	40924
FAIL	NO	NO			2147	71		🇳🇱71Mb | ClearStack BV	188.114.97.6	8080
FAIL	NO	NO			4002	71		🇷🇺71Mb | VK	95.163.214.43	443
FAIL	NO	NO			390	70		🇹🇷70Mb | Tres Teknoloji AS	45.74.159.28	34562
FAIL	NO	NO			554	69		🇹🇷69Mb | Tres Teknoloji AS	turkii.parsclad.ir	37447
WORKS	NO	YES			610	68		🇯🇵68Mb | Lagom Products	freshjuniper.download	443
FAIL	NO	NO			476	68		🇹🇷68Mb | Tres Teknoloji AS	turkii.parsclad.ir	57362
FAIL	NO	NO			4002	68		🇷🇺68Mb | VK	95.163.214.43	443
WORKS	YES	YES	102.211.56.29	ZA	1067	66		🇿🇦66Mb | Maxko for Gaming Development	102.211.56.29	443
WORKS	YES	YES	102.211.56.29	ZA	1072	65		🇿🇦65Mb | Maxko for Gaming Development	102.211.56.29	443
FAIL	NO	NO			4003	64		🇸🇪64Mb | UAB Cherry Servers	176.109.69.127	443
WORKS	YES	YES	13.39.171.238	FR	275	63	13	🇫🇷63Mb | AWS	13.39.171.238	22223
FAIL	NO	NO			4002	63		🇷🇺63Mb | VK	95.163.214.43	443
WORKS	YES	YES	5.129.208.137	NL	873	63	11	🇳🇱63Mb | Timeweb LLP	201.24.117.25	19210
FAIL	NO	NO			4003	63		🇷🇺63Mb | UFO Hosting	217.16.31.162	443
FAIL	NO	NO			4002	62		🇷🇺62Mb | VK	95.163.214.43	443
FAIL	NO	NO			563	62		🇹🇷62Mb | Tres Teknoloji AS	turkii.parsclad.ir	34562
WORKS	YES	YES	179.61.227.145	IN	424	61		🇮🇳61Mb | 12651980 CANADA INC	179.61.227.145	2083
FAIL	NO	NO			4002	61		🇸🇪61Mb | Oc Networks Limited	95.85.241.209	443
WORKS	YES	YES	89.150.40.177	EE	494	61	20	🌐61Mb | @v2ray313 کانالمون 💜	185.174.135.28	443
FAIL	NO	NO			2592	60		🇷🇺60Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	60		🇷🇺60Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	60		🇷🇺60Mb | VK	95.163.214.43	443
WORKS	YES	YES	13.39.171.238	FR	276	59	14	🇫🇷59Mb | AWS	13.39.171.238	22224
FAIL	NO	NO			2131	59		🇷🇺59Mb | VK	95.163.214.43	443
FAIL	NO	NO			4002	58		🇷🇺58Mb | VK	95.163.214.43	443
FAIL	NO	NO			473	58		🇷🇺58Mb | VK	95.163.214.43	443
FAIL	NO	NO			4003	57		🇸🇪57Mb | Oc Networks Limited	95.85.241.209	443
FAIL	NO	NO			4003	57		🌐57Mb | 🇸🇪 Sweden, Stockholm  🌐  BL	95.85.241.209	443
FAIL	NO	NO			4002	56		🇳🇱56Mb | Servers Tech Fzco	89.124.95.246	443
